Policy ID,Policy,Policy section,ISO/IEC 27001:2022 Annex A,NIST CSF 2.0
CGI-POL-001,Acceptable Use Policy,4.1 General use,A.5.10,GV.PO-01
CGI-POL-001,Acceptable Use Policy,4.2 Prohibited activities,"A.5.10, A.8.1","GV.PO-01, PR.AA-05"
CGI-POL-001,Acceptable Use Policy,4.3 Credentials,A.5.17,PR.AA-01
CGI-POL-001,Acceptable Use Policy,4.4 Devices and BYOD,"A.6.7, A.8.1","PR.PS-01, PR.AA-05"
CGI-POL-001,Acceptable Use Policy,4.5 AI tools,"A.5.23, A.8.12","GV.PO-01, PR.DS-01"
CGI-POL-001,Acceptable Use Policy,4.6 Shadow IT,"A.5.23, A.8.19","ID.AM-02, GV.SC-04"
CGI-POL-001,Acceptable Use Policy,4.7 Communications,"A.5.14, A.6.3",PR.AT-01
CGI-POL-001,Acceptable Use Policy,4.8 Removable media,"A.7.10, A.8.10",PR.DS-01
CGI-POL-001,Acceptable Use Policy,4.9 Physical security,"A.7.7, A.7.9",PR.AA-06
CGI-POL-001,Acceptable Use Policy,4.10 Monitoring notice,"A.8.16, A.5.34","DE.CM-03, GV.PO-02"
CGI-POL-001,Acceptable Use Policy,4.11 Return of assets,A.5.11,PR.AA-05
CGI-POL-002,Password and Multi-Factor Authentication Policy,4.1 Password standards,A.5.17,PR.AA-01
CGI-POL-002,Password and Multi-Factor Authentication Policy,4.2 Password storage,"A.5.17, A.8.24",PR.AA-01
CGI-POL-002,Password and Multi-Factor Authentication Policy,4.3 Multi-factor authentication,A.8.5,PR.AA-03
CGI-POL-002,Password and Multi-Factor Authentication Policy,4.4 Privileged and shared accounts,"A.8.2, A.5.16",PR.AA-05
CGI-POL-002,Password and Multi-Factor Authentication Policy,4.5 Service accounts and secrets,"A.5.17, A.8.28","PR.AA-01, PR.PS-06"
CGI-POL-002,Password and Multi-Factor Authentication Policy,4.6 SSO and lockout,A.8.5,PR.AA-03
CGI-POL-003,Onboarding and Offboarding Access Control Policy,4.1 Governing principles,"A.5.15, A.8.2",PR.AA-05
CGI-POL-003,Onboarding and Offboarding Access Control Policy,4.2 Role profiles,"A.5.15, A.5.18",PR.AA-05
CGI-POL-003,Onboarding and Offboarding Access Control Policy,4.3 Joiner,"A.5.16, A.6.1, A.6.3","PR.AA-01, PR.AT-01"
CGI-POL-003,Onboarding and Offboarding Access Control Policy,4.4 Mover,A.5.18,PR.AA-05
CGI-POL-003,Onboarding and Offboarding Access Control Policy,4.5 Leaver,"A.5.11, A.6.5, A.5.18",PR.AA-05
CGI-POL-003,Onboarding and Offboarding Access Control Policy,4.6 Third-party access,"A.5.19, A.5.20","GV.SC-04, PR.AA-05"
CGI-POL-003,Onboarding and Offboarding Access Control Policy,4.7 Access reviews,"A.5.18, A.8.2","PR.AA-05, DE.CM-03"
CGI-POL-004,Data Classification Policy,4.1 Classification tiers,A.5.12,ID.AM-07
CGI-POL-004,Data Classification Policy,4.2 Handling matrix,"A.5.13, A.5.14, A.8.10, A.8.11, A.8.24","PR.DS-01, PR.DS-02"
CGI-POL-004,Data Classification Policy,4.3 Labelling,A.5.13,ID.AM-07
CGI-POL-004,Data Classification Policy,4.4 Reclassification,A.5.12,ID.AM-07
CGI-POL-004,Data Classification Policy,4.5 Personal data,"A.5.34, A.5.33","GV.PO-01, PR.DS-01"
CGI-POL-004,Data Classification Policy,Retention and disposal,"A.5.33, A.8.10",PR.DS-01
CGI-POL-005,Incident Reporting Policy,5.1 What to report,A.6.8,"DE.AE-02, RS.MA-01"
CGI-POL-005,Incident Reporting Policy,5.2 How and when,"A.5.24, A.6.8",RS.MA-01
CGI-POL-005,Incident Reporting Policy,5.3 Evidence preservation,A.5.28,RS.AN-07
CGI-POL-005,Incident Reporting Policy,5.4 Severity classification,A.5.25,RS.MA-03
CGI-POL-005,Incident Reporting Policy,5.5 Response process,A.5.26,"RS.MA, RS.AN, RC.RP"
CGI-POL-005,Incident Reporting Policy,5.6 External notification,"A.5.24, A.5.34, A.6.8","RS.CO-02, RS.CO-03"
CGI-POL-005,Incident Reporting Policy,5.7 Post-incident review,A.5.27,"ID.IM-03, ID.IM-04"
CGI-POL-005,Incident Reporting Policy,7.2 Tabletop exercise,"A.5.24, A.5.30",ID.IM-02
