ID,Action,Clause / control,Owner (job title),Start,Due,Phase,Est. cost (USD) - planning estimate,Dependency,Notes
ISO-01,"Context, interested parties and obligations register (including the climate-change relevance decision)",4.1; 4.2; A.5.31,Chief Executive Officer,01 Oct 2026,31 Oct 2026,Phase 0 - Foundation,0,None,Would support GV.OC 1 -> 2 once approved
ISO-02,"Approve the ISMS scope and boundary, including the AWS shared-responsibility statement",4.3; A.5.23; A.8.27,Chief Executive Officer,01 Oct 2026,31 Oct 2026,Phase 0 - Foundation,0,ISO-01,Takes the documentation half of REC-18 forward (RC-04)
ISO-03,"ISMS policy v1.0; approve the USD 32,100 year-one budget and ISMS time allocation",5.1; 5.2; 7.1,Chief Executive Officer,01 Oct 2026,31 Oct 2026,Phase 0 - Foundation,0,ISO-01,"One page, signed by the CEO"
ISO-04,Assign the ISMS lead (CTO) and publish the ISMS RACI,5.3; A.5.2,Chief Executive Officer,01 Oct 2026,31 Oct 2026,Phase 0 - Foundation,0,None,Implements the GAP-003 recommended action
ISO-05,Risk acceptance criteria and appetite; annual plus event-driven assessment cadence,6.1.2; 8.2,Chief Executive Officer,01 Oct 2026,31 Oct 2026,Phase 0 - Foundation,0,None,"Same work as REC-13, pulled forward from Q2 2027 (RC-01)"
ISO-06,"Approve SoA v1.0 and one consolidated risk treatment plan; risk owners sign residual acceptance for R-004, R-005 and VR-004",6.1.3; 8.1; 8.3,Chief Executive Officer,01 Nov 2026,30 Nov 2026,Phase 1 - Plan,0,ISO-05,Without ISO-05 these acceptances have no criteria to be made against
ISO-07,ISMS objectives and measurement plan built on the 14 KRIs,6.2; 9.1,Chief Technology Officer,01 Nov 2026,30 Nov 2026,Phase 1 - Plan,0,ISO-06,Example objective: KRI-V1 (DPA coverage) at 100% and held there every quarter
ISO-08,"ISMS procedures: document and record control, change planning, communication, ISMS risks and opportunities, NC and corrective action, improvement log",4.4; 6.1.1; 6.3; 7.4; 7.5; 10.1; 10.2,Chief Technology Officer,01 Nov 2026,31 Dec 2026,Phase 1 - Plan,0,ISO-03,One short procedure document
ISO-09,Execute the six outstanding DPAs; approve the CGI-POL-004 section 4.2 amendment; build the GDPR Art. 30 record of processing,A.5.14; A.5.20; A.5.34,Chief Technology Officer,01 Oct 2026,31 Dec 2026,Phase 1 - Plan,0,None,DPAs by 31 Oct 2026 (CGI-TPR-001 30-day ask); record of processing by 31 Dec 2026
ISO-10,Competence matrix and records; CTO completes ISO/IEC 27001 Lead Implementer training,7.2,Head of People and Operations,01 Jan 2027,31 Mar 2027,Phase 2 - Build,2500,ISO-04,Training cost is a planning estimate
ISO-11,"People, physical and residual technical baseline: screening, terms, disciplinary, NDAs, office rules, malware, masking, web filtering, cryptography, capacity, licences, audit-testing rules",A.6.1-A.6.6; A.7.x; A.8.6; A.8.7; A.8.11; A.8.14; A.8.23; A.8.24; A.5.32; A.8.34,Head of People and Operations,01 Jan 2027,30 Jun 2027,Phase 2 - Build,0,ISO-03,Staff time; owners per SoA row
ISO-12,Internal audit programme; independent internal audit of clauses 4-10 and all applicable controls,9.2; A.5.35,Chief Executive Officer,01 Mar 2027,31 May 2027,Phase 3 - Check,6000,ISO-06,Planning estimate for ~4-5 external auditor days; auditor must not audit their own work
ISO-13,"Management review #1 (Mar 2027) and #2 (Jun 2027, after the internal audit), using the REC-10 forum with the full 9.3.2 agenda",9.3,Chief Executive Officer,01 Mar 2027,30 Jun 2027,Phase 3 - Check,0,ISO-07; ISO-12,"Same forum as REC-10, with an extended agenda (RC-02)"
ISO-14,Select an accredited certification body (check the DAkkS/UKAS mark and scope); fix audit days; book Stage 1 and Stage 2,Certification,Chief Executive Officer,01 Jan 2027,31 Mar 2027,Phase 2 - Build,0,ISO-02,Selection itself is free; fees in ISO-17
ISO-15,Corrective actions from the internal audit and Stage 1,10.2,Chief Technology Officer,01 Jun 2027,31 Aug 2027,Phase 4 - Audit,0,ISO-12,Staff time
ISO-16,Purchase ISO/IEC 27001:2022 (+Amd 1) and ISO/IEC 27002:2022,Support,Chief Technology Officer,01 Oct 2026,15 Oct 2026,Phase 0 - Foundation,400,None,Planning estimate
ISO-17,"Certification audit: Stage 1 (Jul 2027) and Stage 2 (Oct 2027, after the Tier 1 vendor re-reviews due Sep 2027)",Certification,Chief Executive Officer,01 Jul 2027,31 Oct 2027,Phase 4 - Audit,14000,ISO-12; ISO-13; ISO-14,Planning estimate for a 50-person single-site scope; certificate expected Nov 2027
