Rec ID,Recommendation,Closes (Risk ID / Control Gap),Related CSF Category,Priority,Est. Effort (S/M/L),Risk Reduction (1-5),Reduction per Effort Unit,Owner (Job Title),Target Quarter,Dependency,Business Rationale
REC-01,"Complete MFA enrolment to 100% of accounts and retire the ACC-001 SMS exception ahead of its 03 Mar 2027 expiry, bringing practice into line with CGI-POL-002 s4.3.3 and s4.3.5.",R-001; TP-01 (partial),PR.AA,P1,S,4,4.0,IT Operations Manager,Q4 2026,None,Closes the roughly ten unprotected accounts behind the control-effectiveness discount CGI-RSK-001 applies to R-001. Highest risk reduction per unit of effort in the entire roadmap.
REC-02,"Execute and evidence the first quarterly privileged access review mandated by CGI-POL-003 s4.7.1, producing a dated, signed review record with actioned removals.",R-003; PR.AA maturity 2 to 3,PR.AA,P1,S,4,4.0,IT Operations Manager,Q4 2026,Partial dependency on REC-05 for completeness,Converts the single most-cited unexecuted clause in the policy pack into operating evidence and is the cheapest available audit artifact.
REC-03,"Perform and document a full backup restore test to a clean environment, then publish CGI-POL-006 Backup and Recovery with RTO and RPO approved by Jerry Olugboye.",R-002; CG-01,RC.RP,P1,S,4,4.0,IT Operations Manager,Q4 2026,None,CGI-RSK-001 refuses to credit backups for R-002 until a restore is proven (CG-01). One test converts an assumption into a capability.
REC-04,Drive CGI-TRK-001 policy acknowledgement from 60% to 100% and add a completion gate to the CGI-POL-003 joiner process so no new starter gains access before acknowledging.,"R-001, R-002; GV.PO maturity 2 to 3",GV.PO,P1,S,3,3.0,Head of People and Operations,Q4 2026,None,"Roughly twenty employees are currently bound by policies they have not read, which makes the entire Project 1 investment unenforceable."
REC-05,"Build an asset and SaaS inventory covering AWS accounts and data stores, GitHub repositories, Google Workspace shared drives, Slack workspaces, Stripe objects and staff endpoints, labelled per CGI-POL-004.","R-003, R-005; ID.AM maturity 1 to 2",ID.AM,P1,M,4,2.0,IT Operations Manager,Q1 2027,None,"Sequenced early despite a mid-range ratio because it is a hard prerequisite for REC-02, REC-11 and REC-15. Dependency overrides ratio."
REC-06,Publish CGI-POL-007 Secure Development and Change Management and enforce GitHub branch protection with mandatory peer review and no direct commits to main.,R-004; CG-02,PR.PS,P1,M,5,2.5,Chief Technology Officer,Q1 2027,None,"R-004 is one of only two risks that stayed High after the Project 1 pack, precisely because no policy clause governs how code reaches production. This is the largest single maturity move available (PR.PS 0 to 2)."
REC-07,"Enable AWS CloudTrail organisation-wide with log file validation, centralise logs with defined retention, and alert on root usage, IAM policy change, public S3 exposure and mass data download.","R-003, R-005; CG-03, CG-05 (partial)","DE.CM, DE.AE",P1,M,5,2.5,IT Operations Manager,Q1 2027,None,"Moves the company from zero detection capability to a defensible one and simultaneously unblocks RS.AN incident analysis, which is currently impossible for want of retained logs."
REC-08,Publish CGI-POL-008 Vulnerability Management and begin authenticated vulnerability scanning with severity-based remediation SLAs; feed results into the next CGI-RSK-001 revision.,"R-002, R-004; CG-02","PR.PS, ID.RA",P1,M,4,2.0,Chief Technology Officer,Q1 2027,None,"Satisfies CSF ID.RA-01 by technical discovery rather than workshop judgement, which is the stated reason ID.RA is capped at 3 rather than 4."
REC-09,"Stand up an annual security awareness curriculum with an induction module and role-specific content for staff with production access, plus quarterly phishing simulations tracked in CGI-TRK-001.",R-001; CG-04,PR.AT,P1,M,4,2.0,Head of People and Operations,Q1 2027,REC-04 (acknowledgement gate),"R-001 carries the joint-highest inherent score in the register (20) and its principal control is human judgement that has been trained once, at induction, and never tested."
REC-10,"Establish a minuted quarterly security review with Jerry Olugboye reporting the seven CGI-RSK-001 KRIs, this maturity scorecard and TP-01 to TP-10 status.",GV.OV maturity 1 to 2,GV.OV,P2,S,2,2.0,Chief Executive Officer,Q1 2027,None,Creates the governance loop that releases budget and keeps remediation alive once the assessment ends; the minutes are themselves the oversight evidence.
REC-11,Apply a CIS AWS Foundations Benchmark baseline and enable continuous cloud security posture monitoring across all AWS accounts.,R-005; CG-03,PR.IR,P1,M,5,2.5,IT Operations Manager,Q2 2027,REC-05 (asset inventory),R-005 is the second of the two risks that stayed High. A baseline plus posture monitoring is the only control that addresses misconfiguration as a class rather than one bucket at a time.
REC-12,"Run a SEV1 tabletop exercise against CGI-POL-005 covering ransomware and cloud exposure, rehearsing the s5.6.3 GDPR 72-hour path, with a written lessons-learned record.","R-002, R-005; ID.IM maturity 1 to 2","RS.MA, RS.CO, ID.IM",P2,S,3,3.0,Chief Technology Officer,Q2 2027,REC-07 (something to detect with),Converts three policy-only Categories into exercised ones in a single half-day and produces the lessons-learned artifact that ID.IM currently lacks entirely.
REC-13,Add a CEO-approved risk appetite statement and a defined annual plus event-driven re-assessment cadence to CGI-RSK-001 v1.1; re-confirm ACC-001 against the stated appetite.,GV.RM maturity 2 to 3,"GV.RM, GV.OC",P2,S,2,2.0,Chief Executive Officer,Q2 2027,REC-10 (governance forum),ACC-001 was accepted against an undeclared tolerance. Declaring appetite is what makes every future acceptance defensible rather than personal.
