Control,Title,Theme,Applicable Y/N,Justification for inclusion or exclusion,Implementation status,Evidence held or required,Owner (job title),Related risk ID,Related maturity Category,Related supplier finding,Target date,Basis for inclusion,Control maturity (0-4)
A.5.1,Policies for information security,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.2,Information security roles and responsibilities,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.3,Segregation of duties,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.4,Management responsibilities,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.5,Contact with authorities,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.6,Contact with special interest groups,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.7,Threat intelligence,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.8,Information security in project management,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.9,Inventory of information and other associated assets,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.10,Acceptable use of information and other associated assets,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.11,Return of assets,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.12,Classification of information,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.13,Labelling of information,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.14,Information transfer,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.5.15,Access control,Organizational,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
