Clause,Requirement,Stage 1 gate (Y/N),Score (0-2),Current state,Gap,Evidence needed,Owner (job title),Action,Due
4.1,"Understand the organisation and its context: internal and external issues, including whether climate change is relevant (Amd 1:2024)",N,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
4.2,"Interested parties, their relevant requirements, and which of those the ISMS addresses",N,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
4.3,"Determine and document the ISMS scope, considering interfaces and dependencies with other organisations",Y,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
4.4,"Establish, implement, maintain and continually improve the ISMS",N,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
5.1,Leadership and commitment,N,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
5.2,"Information security policy: appropriate, provides a framework for objectives, commits to requirements and continual improvement; documented and communicated",N,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
5.3,"Roles, responsibilities and authorities, including for ISMS conformance and reporting to top management",N,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
6.1.1,Determine risks and opportunities for the ISMS itself and plan actions,N,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
6.1.2,"Information security risk assessment process, including risk ACCEPTANCE criteria and criteria for performing assessments",Y,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
6.1.3,"Risk treatment: select options, determine controls, compare with Annex A, produce the SoA and a risk treatment plan, and obtain risk owners' approval and residual acceptance",Y,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
6.2,"Information security objectives: measurable, monitored, communicated; plans to achieve them",N,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
6.3,Planning of changes to the ISMS,N,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
7.1,Resources,N,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
7.2,"Competence, with documented evidence",N,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
7.3,"Awareness of policy, contribution and implications of non-conformance",N,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
7.4,Internal and external communication,N,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
7.5,"Documented information: creation, updating and control",N,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
8.1,"Operational planning and control, including control of externally provided processes",N,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
8.2,Perform risk assessments at planned intervals or on significant change; retain results,N,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
8.3,Implement the risk treatment plan; retain results,N,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
9.1,"Monitoring, measurement, analysis and evaluation; retain results",N,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
9.2.1,Internal audit at planned intervals,Y,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
9.2.2,"Internal audit programme: frequency, methods, responsibilities, criteria and scope; auditor objectivity; results reported",Y,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
9.3.1,Management review at planned intervals,Y,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
9.3.2,"Management review inputs a) to g), including changes in interested parties' needs",Y,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
9.3.3,Management review results: improvement decisions and changes; documented,Y,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
10.1,Continual improvement,N,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
10.2,"Nonconformity and corrective action (correction, root cause, action, effectiveness review); retained",N,[0/1/2],"[What exists today, citing a document ID]",[What is missing],[Artifact an auditor would ask for],[Job title],[Action ID],[DD Mon YYYY]
