Treatment ID,Risk ID,Strategy,Action,Control type,Existing policy anchor,Estimated cost (USD),Action owner (job title),Target completion,Target residual score
TP-01,R-001,Mitigate,"Issue FIDO2 hardware security keys or enforce device-bound passkeys for all 50 personnel, removing authenticator-app one-time codes as an accepted factor for standard accounts.",Preventive,"CGI-POL-002 §4.3.3, §4.3.4","2,500",IT Operations Manager,31 October 2026,3
TP-02,R-001,Mitigate,"Drive CGI-TRK-001 to 100% policy acknowledgement and 100% security awareness training completion; introduce quarterly simulated phishing with reporting-rate as the metric, not click-rate alone.","Preventive, Detective",CGI-POL-001 §6.2; CGI-POL-003 §4.3.6,"1,800",Head of People and Operations,30 November 2026,3
TP-03,R-002,Mitigate,"Author and approve CGI-POL-006 Backup and Recovery Policy mandating defined RPO and RTO, immutable or offline backup copies, and a restore test performed and evidenced at least quarterly. Closes CG-01.",Corrective,New policy — gap CG-01,0 (internal effort),Chief Technology Officer,31 October 2026,4
TP-04,R-002,Transfer,"Procure cyber insurance covering incident response costs, business interruption and extortion, with a limit informed by the Impact scale band 4 to 5. Note that reputational and regulatory liability are not transferable.",Financial,Assumption A-05,"9,000 per annum",Chief Executive Officer,15 December 2026,6
TP-05,R-002,Mitigate,"Deploy centrally managed endpoint detection and response with enforced patch compliance reporting, converting the 14-day patch obligation from a written duty into a measurable one.","Preventive, Detective","CGI-POL-001 §4.4.3, §4.2.3","4,200 per annum",IT Operations Manager,31 January 2027,6
TP-06,R-003,Mitigate,"Enable Google Workspace and endpoint data loss prevention rules for bulk export of Confidential and Restricted data, and add an automated alert on large downloads by any account in a notice period. Closes CG-05.",Detective,CGI-POL-001 §4.10.1; CGI-POL-004 §4.2,"2,400 per annum",IT Operations Manager,31 January 2027,4
TP-07,R-004,Mitigate,"Author and approve CGI-POL-007 Secure Development and Change Management Policy, mandating peer code review, authorisation testing on every tenant-scoped endpoint, and segregation between development and production. Closes part of CG-02.",Preventive,New policy — gap CG-02,0 (internal effort),Chief Technology Officer,30 November 2026,8
TP-08,R-004,Mitigate,Author and approve CGI-POL-008 Vulnerability Management Policy with remediation SLAs by severity; enable dependency scanning; commission an independent API penetration test with retest.,"Preventive, Detective",New policy — gap CG-02,"11,000",Chief Technology Officer,31 January 2027,6
TP-09,R-005,Mitigate,"Enable AWS account-level S3 Block Public Access, apply a Service Control Policy preventing its removal, and enable AWS Config rules with alerting for public storage, unencrypted volumes and unrestricted security groups. Closes CG-03.","Preventive, Detective",CGI-POL-004 §4.2,"1,200 per annum",Chief Technology Officer,30 November 2026,6
TP-10,R-005,Mitigate,"Author a cloud configuration baseline standard aligned to the CIS Amazon Web Services Foundations Benchmark, and assess against it quarterly with evidenced results.",Preventive,New standard — gap CG-03,0 (internal effort),Chief Technology Officer,28 February 2027,4
