Control,Title,Theme,Applicable Y/N,Justification for inclusion or exclusion,Implementation status,Evidence held or required,Owner (job title),Related CGI-RSK-001 v1.1 risk ID,Related CGI-GAP-001 Category,Related CGI-TPR-001 finding,Target date,Basis for inclusion,Control maturity (0-4),In CGI-GAP-001 mapping (Y/N),CGI-GAP-001 mapped under,Roadmap link
A.5.1,Policies for information security,Organizational,Y,"Required by every register risk that relies on a written rule. Five topic-specific policies are approved (GV.PO = 2) but there is no top-level ISMS policy, 40% of staff have not acknowledged the pack and no annual review has run.",Partial,Held: CGI-POL-001 to -005 v1.0 approved; CGI-TRK-001 (60% acknowledged). Required: CEO-approved ISMS policy; first annual review record; 100% acknowledgement.,Chief Executive Officer,R-001; R-002,GV.PO; GV.OC; GV.RM,-,31 Oct 2026,Risk + Maturity gap,2,Y,GV.OC; GV.RM; GV.PO,ISO-03; REC-04
A.5.2,Information security roles and responsibilities,Organizational,Y,"Accountability exists per document (GV.RR = 2) and CGI-POL-005 section 4 names response roles, but no ISMS role, security programme lead or RACI across the controls exists.",Partial,Held: document control blocks; CGI-POL-005 section 4 roles; CGI-TPR-001 RACI. Required: ISMS RACI covering this SoA; written assignment of the security programme lead.,Chief Executive Officer,R-003,GV.RR,-,31 Oct 2026,Risk + Maturity gap,2,Y,GV.RR,ISO-04
A.5.3,Segregation of duties,Organizational,Y,"Policy approval is segregated (CGI-POL-002 approver moved to the CEO), but engineers can commit straight to production with no second person, which is the code-path duty conflict behind R-004.",Partial,Held: CGI-POL-002 approval record. Required: segregation-of-duties matrix; GitHub branch protection requiring a second reviewer.,Chief Technology Officer,R-004; R-003,GV.RR,-,31 Mar 2027,Risk + Maturity gap,1,Y,GV.RR,REC-06
A.5.4,Management responsibilities,Organizational,Y,"Management must require staff to apply policy. CGI-TRK-001 shows 60% acknowledgement, so roughly 20 staff are bound by rules they have not read (GAP-004).",Partial,Held: CGI-TRK-001. Required: onboarding acknowledgement gate; CEO communication requiring compliance.,Chief Executive Officer,R-001; R-002,GV.RR; GV.RM; GV.OC,-,31 Dec 2026,Risk + Maturity gap,1,Y,GV.OC; GV.RM; GV.RR,REC-04
A.5.5,Contact with authorities,Organizational,Y,"CGI-POL-005 section 5.6.3 commits to the GDPR 72-hour notification, but no lead supervisory authority or contact route is recorded (GAP-019), and F-002 shows the clock can start outside CGI's control.",Partial,"Held: CGI-POL-005 section 5.6.3. Required: authority contact register (supervisory authority, national CSIRT, police cyber unit).",Head of Customer Success,VR-004; R-005; R-003,RS.CO; RC.CO,F-002 (no vendor breach-notification clause),31 Dec 2026,Risk + Maturity gap + Vendor finding,1,Y,RS.CO; RC.CO,ISO-01; REC-14
A.5.6,Contact with special interest groups,Organizational,Y,Mapped by CGI-GAP-001 to RS.CO and RC.CO. No membership of any security community exists; also the practical feed for A.5.7.,Not started,Held: none. Required: record of at least one membership (for example a national CERT advisory list or an OWASP chapter).,Chief Technology Officer,-,RS.CO; RC.CO,-,30 Jun 2027,Maturity gap,0,Y,RS.CO; RC.CO,REC-12
A.5.7,Threat intelligence,Organizational,Y,"ID.RA = 3 describes the register method, not threat intelligence. The register's coverage rests on workshop judgement with no technical or threat input (CG-02), so this control is Not started.",Not started,"Held: none. Required: named intelligence sources, a monthly review record and evidence that findings fed CGI-RSK-001.",Chief Technology Officer,R-001; R-002; R-004,ID.RA; PR.PS,-,31 Mar 2027,Risk + Maturity gap,0,Y,ID.RA,REC-08
A.5.8,Information security in project management,Organizational,Y,"Missed by CGI-GAP-001. Features reach production with no security requirement step (R-004), and two AI tools entered the business with no project review (VR-005).",Not started,Held: none. Required: security requirements gate in CGI-POL-007; project intake checklist.,Chief Technology Officer,R-004; VR-005,PR.PS,CGI-VEN-012 and -013 adopted outside any project or procurement review,31 Mar 2027,Risk + Maturity gap + Vendor finding,0,N,-,REC-06
A.5.9,Inventory of information and other associated assets,Organizational,Y,"ID.AM = 1. The CGI-TPR-001 vendor inventory is one input; no inventory of AWS data stores, repositories, drives or endpoints exists.",Partial,Held: CGI-TPR-001 vendor inventory (17 rows). Required: asset and SaaS inventory with owner and CGI-POL-004 label per asset.,IT Operations Manager,R-003; R-005,ID.AM,17-vendor inventory (input only - not an asset inventory),31 Mar 2027,Risk + Maturity gap + Vendor finding,1,Y,ID.AM,REC-05
A.5.10,Acceptable use of information and other associated assets,Organizational,Y,"CGI-POL-001 is approved, including section 4.5 on AI use, but 40% of staff have not acknowledged it and Otter.ai shows it being bypassed (VR-006).",Partial,Held: CGI-POL-001 v1.0. Required: 100% acknowledgement; AI-use briefing record.,Head of People and Operations,R-001; R-003; VR-006,ID.AM; GV.PO,CGI-VEN-012 Otter.ai used in breach of CGI-POL-001 section 4.5,31 Dec 2026,Risk + Maturity gap + Vendor finding,2,Y,ID.AM,REC-04
