#,Clause,What it must actually say,Tier 1,Tier 2,Tier 3,ISO 27001:2022
1,Data Processing Agreement,"Full GDPR Art. 28(3) content: subject matter, duration, nature and purpose, data types, data subject categories, documented-instructions-only, staff confidentiality, Art. 32 measures, assistance with data subject rights and breach notification, deletion or return at end of contract",M,M,M,"A.5.20, A.5.34"
2,Breach notification within 24 hours,"A fixed maximum in hours, starting from the vendor's awareness, with defined minimum content. Not ""promptly"", not ""without undue delay""",M,M,M,"A.5.20, A.6.8"
3,Named security contact + out-of-hours route,"A person or rota, not a support portal",M,R,O,A.5.5
4,Sub-processor list + 30 days' notice + right to object,Current list appended to the contract; 30 days' prior written notice of change; a right to object with a termination remedy if unresolved,M,M,R,"A.5.21, A.5.22"
5,Flow-down of equivalent obligations,The vendor imposes materially equivalent terms on its own sub-processors,M,R,O,A.5.20
6,Data residency and Art. 46 transfer mechanism,Named countries; SCCs or adequacy identified; transfer impact assessment where applicable,M,M,R,A.5.34
7,"No AI training, no human review without consent","Explicit prohibition on using Cypher Group Inc. data to train, fine-tune or evaluate any model, and on human review, by the vendor or any AI sub-processor",M,M,M,"A.5.20, A.5.34"
8,"Right of audit, or attestation in lieu","An audit right, or a contractual commitment to provide a current SOC 2 Type II or ISO 27001 certificate annually with its scope statement",R,R,O,"A.5.20, A.5.22"
9,Assurance refresh obligation,"The vendor provides its refreshed report within 30 days of issue, and a bridge letter on request. This is the clause that treats VR-009",M,R,O,A.5.22
10,Encryption at rest and in transit,"Named minimum standards, not ""industry standard""",M,R,O,A.8.24
11,"Data export on demand, in a documented format","Machine-readable, documented, available without additional fee — the clause that makes an exit plan real",M,R,O,A.5.29
12,Certified deletion on termination,"Deletion within a stated number of days, with a written certificate",M,M,M,A.8.10
13,Transition assistance on exit,"Defined scope and duration of assistance, priced in advance",R,O,—,A.5.20
14,SSO and SCIM support,"Federation and automated deprovisioning, so the CGI-POL-003 §4.5.2 four-hour SLA is technically achievable. This clause treats VR-008",M at renewal,R,O,"A.5.16, A.5.18"
15,Customer-accessible audit logs,The customer can retrieve administrative and access logs for its own tenant,M,R,O,A.8.15
16,Cyber liability insurance,"Stated limit of indemnity, with a certificate on request",R,O,—,A.5.20
17,Service levels with credits,"Availability commitment with a remedy, not an aspiration",R,O,—,A.5.30
18,Notification of change of control,"Written notice of acquisition, with a termination right. This clause treats VR-007",R,O,—,A.5.22
