Vendor ID,Vendor Name,Service Description,Business Owner (Job Title),Data Classification Accessed,Data Types Processed,Volume / Criticality,Hosting Region,Sub-processors Used,DPA in Place,Assurance Artifact Held,Tier,Inherent Vendor Risk,Assessment Status,Next Review Date,Related CGI-RSK-001 Risk ID,Related CSF Category,D Data Exposure (0-3),A Availability Dependency (0-3),C Connectivity / Privilege (0-3),R Replaceability (0-3),Factor Total,Escalation Triggers Fired,Inherent Rating,SSO Federated,Assessor Note
CGI-VEN-001,Amazon Web Services (AWS),Cloud hosting and infrastructure for the production platform,Chief Technology Officer,Restricted,"Customer account data, project content, payment metadata, backups, application logs",All production data for approx. 200 customers / Critical,"eu-central-1 (Frankfurt), with us-east-1 for backups",Y,Y - 14 Feb 2024,"SOC 2 Type II (period ended 30 Jun 2026) + ISO/IEC 27001, 27017, 27018 - held on file",1,10,Assessed - PASS WITH CONDITIONS (VRA-2026-001),15 Dec 2026 (conditions) / 15 Sep 2027 (full),"R-005, R-002","PR.IR, GV.SC, PR.DS",3,3,3,3,12,"T1-a, T1-b, T1-c, T1-d, T1-e",High,Y,Carve-out method; four CUECs unaccepted. No CIS baseline on the CGI side (CG-03).
CGI-VEN-002,GitHub (Microsoft),"Source code hosting, CI/CD pipeline and secrets store",Chief Technology Officer,Confidential,"Application source code, infrastructure-as-code, CI secrets, deployment credentials",100% of the codebase / Critical,United States (multi-region),Y,Y - 09 Mar 2024,SOC 2 Type II (period ended 31 Mar 2026) + ISO/IEC 27001 - held on file,1,15,Assessed - Pass (VRA-2026-004),15 Sep 2027,R-004,"PR.PS, GV.SC",2,2,3,3,10,"T1-c, T1-e",Critical,Y,No branch protection on the CGI side (CG-02). Vendor control strong; our use of it is not.
CGI-VEN-003,Google Workspace,"Email, documents, shared drives and primary identity provider",IT Operations Manager,Confidential,"Internal documents, employee email, contracts, limited customer PII","50 mailboxes, all internal documents / High",EU and US (global regions),Y,Y - 22 Jan 2024,"SOC 2 Type II (period ended 31 May 2026) + ISO/IEC 27001, 27017, 27018 - held on file",1,12,Assessed - Pass (VRA-2026-005),15 Sep 2027,"R-001, R-003","PR.AA, PR.DS, GV.SC",2,3,2,3,10,"T1-d, T1-e",High,Y,"No data-egress monitoring on the CGI side (CG-05). Acts as IdP, so a compromise is estate-wide."
CGI-VEN-004,Slack (Salesforce),"Internal communications, incident channel and customer-facing shared channels",IT Operations Manager,Confidential,"Internal discussion, pasted credentials and screenshots, incidental customer PII, incident traffic","50 users, 3 shared channels with customers / High",United States,Y,N - NOT EXECUTED,"SOC 2 Type II (period ended 30 Nov 2025) - held on file, 9.5 months stale, no bridge letter",1,12,Assessed - FAIL (VRA-2026-002),15 Dec 2026 (re-assessment),"R-001, R-003","GV.SC, PR.DS, RS.CO",2,2,2,2,8,T1-e,High,N,No DPA; no SCIM so CGI-POL-003 4.5.2 four-hour revocation is not technically achievable; unlimited retention; guest access uncontrolled.
CGI-VEN-005,Stripe,Payment processing and subscription billing,Finance Manager,Restricted,"Billing contact details, payment metadata, invoices. No PAN held by CGI (AVD-001)","approx. 200 billing relationships, USD 3.6M ARR / High",United States and Ireland,Y,Y - 05 Apr 2024,SOC 2 Type II (period ended 30 Apr 2026) + PCI DSS Level 1 AoC + ISO/IEC 27001 - held on file,1,8,Assessed - Pass (VRA-2026-006),15 Sep 2027,R-005,"GV.SC, PR.DS",3,2,1,2,8,"T1-a, T1-e",Medium,Y,Tier 1 by Restricted-data trigger yet only Medium inherent risk - tier and score are different measures.
CGI-VEN-006,Auth0 (Okta),Customer identity and authentication for the CGI platform,Chief Technology Officer,Confidential,"Customer end-user identifiers, credentials, session and MFA enrolment data","approx. 9,000 end-user identities across 200 customers / Critical",eu (Frankfurt) tenant,Y,Y - 17 Jun 2024,SOC 2 Type II (period ended 28 Feb 2026) + ISO/IEC 27001 - held on file,1,10,Assessed - Pass (VRA-2026-007),15 Sep 2027,"R-001, R-004","PR.AA, GV.SC",2,3,2,3,10,"T1-b, T1-d, T1-e",High,Y,Single point of authentication failure for every customer tenant.
CGI-VEN-007,Datadog,Application performance monitoring and application log search (engineering use; not configured as a security log source),Chief Technology Officer,Confidential,"Production application logs, infrastructure telemetry, traces containing customer identifiers",All production log traffic / High,eu1 (Frankfurt),Y,Y - 11 Nov 2025,SOC 2 Type II (period ended 30 Jun 2026) + ISO/IEC 27001 - held on file,1,12,Assessed - Pass (VRA-2026-008),15 Sep 2027,"R-003, R-005","DE.CM, GV.SC",2,1,3,2,8,"T1-b, T1-c",High,Y,Log scrubbing rules not verified; agent holds read access across production hosts.
CGI-VEN-008,HubSpot,"CRM, marketing automation and customer lifecycle management",Head of Customer Success,Confidential,"Customer and prospect contact PII, commercial terms, support correspondence","approx. 200 customer accounts plus approx. 4,000 prospect records / Medium",EU (Frankfurt) data centre,Y,Y - 30 Aug 2024,SOC 2 Type II (period ended 31 Jan 2026) - held on file,2,12,Assessed - Pass with observation,15 Mar 2028,R-003,"GV.SC, PR.DS",2,1,1,2,6,-,High,Y,Largest single concentration of contact PII outside the platform. Marketing integrations not inventoried.
CGI-VEN-009,Zendesk,Customer support ticketing and help centre,Head of Customer Success,Confidential,"Support tickets, customer screenshots and attachments, occasional credentials pasted by users",approx. 350 tickets per month / Medium,EU (Frankfurt),Y,Y - 14 Oct 2024,SOC 2 Type II (period ended 31 Mar 2026) + ISO/IEC 27001 - held on file,2,9,Assessed - Pass,15 Mar 2028,"R-001, R-003","GV.SC, RS.CO",2,2,1,1,6,-,Medium,Y,"Attachment content is the exposure, not the ticket text."
CGI-VEN-010,Personio,"HR information system, employee records and onboarding workflow",Head of People and Operations,Confidential,"Employee personal data, contracts, payroll reference data, onboarding records",50 employee records / Medium,EU (Germany),Y,Y - 03 Feb 2025,ISO/IEC 27001 - held on file. No SOC 2 published,2,6,Assessed - Pass,15 Mar 2028,R-003,GV.SC,2,1,1,2,6,-,Medium,Y,Feeds the CGI-POL-003 joiner-mover-leaver process; an outage delays revocation evidence.
