Clause,Requirement,Stage 1 gate (Y/N),Score (0-2),Current state,Gap,Evidence needed,Owner (job title),Action,Due
4.1,"Understand the organisation and its context: internal and external issues, including whether climate change is relevant (Amd 1:2024)",N,1,Context exists only as CGI-RSK-001 assumptions A-01 to A-06 (GV.OC = 1).,No approved context statement; climate change not considered.,Approved context and issues statement.,Chief Executive Officer,ISO-01,31 Oct 2026
4.2,"Interested parties, their relevant requirements, and which of those the ISMS addresses",N,1,"Customers, a GDPR supervisory authority and vendors are known across CGI-POL-005 and CGI-TPR-001.",No interested-parties register; no decision on which requirements the ISMS addresses.,Interested-parties and obligations register (with A.5.31).,Chief Executive Officer,ISO-01,31 Oct 2026
4.3,"Determine and document the ISMS scope, considering interfaces and dependencies with other organisations",Y,1,Drafted in CGI-ISO-001 section 2 (this document).,Not approved by top management.,CEO-approved scope statement v1.0.,Chief Executive Officer,ISO-02,31 Oct 2026
4.4,"Establish, implement, maintain and continually improve the ISMS",N,1,"Components exist (policies, register, gap assessment, vendor programme) but do not run as one system.",No ISMS manual or process map linking them.,ISMS overview showing how the clauses 4-10 processes connect.,Chief Technology Officer,ISO-08,31 Dec 2026
5.1,Leadership and commitment,N,1,"The CEO approved CGI-POL-001 to -005, CGI-RSK-001, CGI-GAP-001 and CGI-TPR-001.","The USD 32,100 year-one budget is costed but unapproved (GAP-003); no stated commitment to the ISMS.",Approved budget; ISMS policy signed by the CEO.,Chief Executive Officer,ISO-03,31 Oct 2026
5.2,"Information security policy: appropriate, provides a framework for objectives, commits to requirements and continual improvement; documented and communicated",N,1,Five topic-specific policies are approved.,No top-level ISMS policy meeting 5.2 a) to d).,"ISMS policy v1.0, communicated and acknowledged.",Chief Executive Officer,ISO-03,31 Oct 2026
5.3,"Roles, responsibilities and authorities, including for ISMS conformance and reporting to top management",N,1,Document-level owners exist (GV.RR = 2).,No one is assigned to ensure ISMS conformance or report its performance.,Written assignment of an ISMS lead; RACI.,Chief Executive Officer,ISO-04,31 Oct 2026
6.1.1,Determine risks and opportunities for the ISMS itself and plan actions,N,0,None.,ISMS-level risks and opportunities have never been considered (distinct from information security risks).,Short ISMS risks and opportunities record.,Chief Technology Officer,ISO-08,31 Dec 2026
6.1.2,"Information security risk assessment process, including risk ACCEPTANCE criteria and criteria for performing assessments",Y,1,"CGI-RSK-001 applies a documented NIST SP 800-30 5x5 method and has operated twice (v1.0, v1.1). ID.RA = 3.","No risk acceptance criteria or appetite (GAP-002), so ACC-001 and ACC-V01 were accepted against nothing. No defined re-assessment cadence.",CEO-approved risk acceptance criteria; assessment cadence.,Chief Executive Officer,ISO-05 (REC-13 pulled forward),31 Oct 2026
6.1.3,"Risk treatment: select options, determine controls, compare with Annex A, produce the SoA and a risk treatment plan, and obtain risk owners' approval and residual acceptance",Y,1,Four treatment options applied; TP-01 to TP-10 costed; SoA drafted here (93 controls).,"SoA and consolidated RTP not approved; residual High risks (R-004, R-005, VR-004) not formally accepted by their owners.",Approved SoA v1.0; approved RTP; signed residual-risk acceptances.,Chief Executive Officer,ISO-06,30 Nov 2026
6.2,"Information security objectives: measurable, monitored, communicated; plans to achieve them",N,0,14 KRIs exist in CGI-RSK-001 v1.1.,"KRIs are indicators, not objectives. No objectives are set.","Objectives with owners, targets and dates.",Chief Technology Officer,ISO-07,30 Nov 2026
6.3,Planning of changes to the ISMS,N,0,None.,No rule for making ISMS changes in a planned way.,Change-planning step in the ISMS procedure.,Chief Technology Officer,ISO-08,31 Dec 2026
7.1,Resources,N,1,The budget is estimated in CGI-RSK-001.,Not approved; no allocation of staff time to the ISMS.,Approved budget and time allocation.,Chief Executive Officer,ISO-03,31 Oct 2026
7.2,"Competence, with documented evidence",N,0,None on file.,No competence requirements for ISMS roles and no evidence of competence.,Role competence matrix; training and certificate records.,Head of People and Operations,ISO-10,31 Mar 2027
7.3,"Awareness of policy, contribution and implications of non-conformance",N,1,Induction 60% complete; 60% acknowledgement.,Not all staff reached; no recurring programme (CG-04).,100% acknowledgement; REC-09 curriculum records.,Head of People and Operations,REC-04; REC-09,31 Mar 2027
7.4,Internal and external communication,N,1,Policies published; CGI-POL-005 defines incident communications.,"No ISMS communication plan (what, when, with whom, how).",Communication plan.,Chief Technology Officer,ISO-08,31 Dec 2026
7.5,"Documented information: creation, updating and control",N,1,"Every CGI policy has a document control block (version, owner, review date).",No procedure controlling records; no document register.,Document and record control procedure; ISMS document register.,Chief Technology Officer,ISO-08,31 Dec 2026
8.1,"Operational planning and control, including control of externally provided processes",N,1,The CGI-TPR-001 workflow controls externally provided services.,Other operational processes are not planned or evidenced.,Operating records for the RTP actions.,Chief Technology Officer,ISO-06,31 Mar 2027
8.2,Perform risk assessments at planned intervals or on significant change; retain results,N,2,Performed September 2026 (v1.0) and again on change (v1.1 vendor addendum); results retained.,The planned interval is not yet defined (recorded under 6.1.2).,Next scheduled assessment record.,Chief Technology Officer,ISO-05,31 Oct 2026
8.3,Implement the risk treatment plan; retain results,N,1,CGI-TPR-001 executed (CG-06 closed); AVD-001 and ACC-001 in force.,Most RTP actions not started (Wave 1 due Q4 2026).,Treatment status tracker with evidence per action.,Chief Technology Officer,ISO-06,31 Mar 2027
9.1,"Monitoring, measurement, analysis and evaluation; retain results",N,1,14 KRIs defined; KRI-V1 measured once (65%).,No monitoring programme; results not reported (GV.OV = 1).,Quarterly KRI and objective report.,Chief Technology Officer,ISO-07; REC-10,31 Mar 2027
9.2.1,Internal audit at planned intervals,Y,0,None.,No internal audit has ever been performed. There is no REC for it in CGI-GAP-001 (see RC-03).,Completed internal audit of all clauses and applicable controls before Stage 1.,Chief Executive Officer,ISO-12,31 May 2027
9.2.2,"Internal audit programme: frequency, methods, responsibilities, criteria and scope; auditor objectivity; results reported",Y,0,None.,No programme; no independent auditor identified.,Audit programme; audit plan; audit report.,Chief Executive Officer,ISO-12,31 Mar 2027
9.3.1,Management review at planned intervals,Y,0,None. No security item has appeared on a leadership agenda (GAP-005).,Never held.,Minutes of management review #1 (Mar 2027) and #2 (Jun 2027).,Chief Executive Officer,ISO-13; REC-10,31 Mar 2027
9.3.2,"Management review inputs a) to g), including changes in interested parties' needs",Y,0,None.,"The REC-10 agenda (KRIs, scorecard, TP status) omits several 9.3.2 inputs (see RC-02).",Agenda template covering 9.3.2 a) to g).,Chief Executive Officer,ISO-13,31 Mar 2027
9.3.3,Management review results: improvement decisions and changes; documented,Y,0,None.,Never held.,Minutes with decisions and actions.,Chief Executive Officer,ISO-13,31 Mar 2027
10.1,Continual improvement,N,1,Improvement happens through commissioned projects (ID.IM = 1).,No routine improvement loop.,"Improvement log fed by audits, KRIs, incidents and exceptions.",Chief Technology Officer,ISO-08,31 Dec 2026
10.2,"Nonconformity and corrective action (correction, root cause, action, effectiveness review); retained",N,0,CGI-POL-005 section 5.7 covers incident corrective actions only (a fragment).,No nonconformity process; exceptions (EXC-001 to -003) are not nonconformities.,NC and corrective action procedure and log.,Chief Technology Officer,ISO-08,31 Dec 2026
