Question ID,Domain,Question,Response Type,Evidence Required,Risk Weight (1-5),ISO/IEC 27001:2022 Annex A,NIST CSF 2.0,Tier 1,Tier 2 (Lite),Tier 3 (Attestation),Vendor Response,Evidence Provided (Y/N),Reviewer Verdict (Met/Partial/Not Met/NA),Finding ID,Reviewer Comment
VQ-01,1. Governance and Security Programme,Do you maintain a documented information security programme formally approved by executive management?,Yes/No + document,Approved security policy set with an approval record,4,"A.5.1, A.5.4",GV.PO,Y,,,,,,,
VQ-02,1. Governance and Security Programme,Is a named individual accountable for information security (CISO or equivalent)? State the role title.,Yes/No + free text,Organisation chart or role description,3,A.5.2,GV.RR,Y,,,,,,,
VQ-03,1. Governance and Security Programme,How many staff are dedicated to information security on a full-time basis?,Numeric,Written headcount statement,2,A.5.2,GV.RR,Y,,,,,,,
VQ-04,1. Governance and Security Programme,Are security policies reviewed at least annually? State the date of the last review.,Yes/No + date,Dated review or approval record,3,"A.5.1, A.5.36",GV.PO,Y,,,,,,,
VQ-05,1. Governance and Security Programme,Do you report security performance metrics to executive management at least quarterly?,Yes/No,Redacted sample management report,2,A.5.35,GV.OV,Y,,,,,,,
VQ-06,2. Risk Management,Do you operate a documented information security risk assessment methodology?,Yes/No + document,Methodology document naming the scoring method,4,A.5.1,ID.RA,Y,,,,,,,
VQ-07,2. Risk Management,When was your last enterprise information security risk assessment completed?,Date,Assessment summary or management report,3,A.5.1,ID.RA,Y,,,,,,,
VQ-08,2. Risk Management,Is there a documented risk acceptance process with a defined approval authority?,Yes/No,Sample risk acceptance record,3,A.5.4,GV.RM,Y,,,,,,,
VQ-09,2. Risk Management,Does your risk register include risks arising from your own suppliers?,Yes/No,Redacted register extract,3,A.5.21,GV.SC,Y,,,,,,,
VQ-10,"3. Policies, Compliance and Certifications",Do you hold a current ISO/IEC 27001 certificate issued by an accredited certification body?,Yes/No/NA + upload,Certificate showing certification body and accreditation mark,5,"A.5.1, A.5.31",GV.OC,Y,Y,,,,,,
VQ-11,"3. Policies, Compliance and Certifications","State the exact scope of that certificate, transcribed as written on the certificate itself.",Free text,Certificate scope statement,5,"A.5.1, A.5.31",GV.OC,Y,Y,,,,,,
VQ-12,"3. Policies, Compliance and Certifications","Do you provide a SOC 2 Type II report, and what period does it cover?",Yes/No + date range + upload,Complete report including Section 4 test results,5,"A.5.1, A.5.31",GV.OC,Y,Y,Y,,,,,
VQ-13,"3. Policies, Compliance and Certifications",Does that report use the CARVE-OUT or the INCLUSIVE method for sub-service organisations? Name every carved-out sub-service organisation.,Multiple choice + free text,Report Section 3 system description,5,"A.5.21, A.5.23",GV.SC,Y,Y,,,,,,
VQ-14,"3. Policies, Compliance and Certifications","List every exception, qualification or deviation in your most recent report, and its remediation status.",Free text,Report Section 4 plus written remediation plan,5,A.5.36,GV.OV,Y,Y,,,,,,
VQ-15,4. Identity and Access Management,Is multi-factor authentication enforced for all personnel with access to customer data?,Yes/No,Policy plus configuration evidence,5,"A.8.5, A.5.17",PR.AA,Y,Y,,,,,,
VQ-16,4. Identity and Access Management,Is phishing-resistant MFA enforced for privileged and administrative accounts?,Yes/No,Configuration evidence,4,"A.8.2, A.8.5",PR.AA,Y,,,,,,,
VQ-17,4. Identity and Access Management,"Is access granted on a documented least-privilege, role-based model?",Yes/No + document,Role-based access control model,4,"A.5.15, A.5.18",PR.AA,Y,,,,,,,
VQ-18,4. Identity and Access Management,How frequently are user access rights reviewed? State the date of the last completed review.,Multiple choice + date,Signed and dated access review record,4,A.5.18,PR.AA,Y,,,,,,,
VQ-19,4. Identity and Access Management,What is your service-level commitment for revoking access on employee termination?,Numeric (hours),Procedure plus a sample completed revocation record,4,"A.5.18, A.6.5",PR.AA,Y,,,,,,,
VQ-20,4. Identity and Access Management,Do you support SSO (SAML or OIDC) and automated provisioning and deprovisioning (SCIM) for customer administrators?,Yes/No,Product documentation,4,A.5.16,PR.AA,Y,,,,,,,
VQ-21,5. Data Protection and Encryption,Is customer data encrypted at rest? State the algorithm and key length.,Yes/No + free text,Encryption standard,5,A.8.24,PR.DS,Y,Y,,,,,,
VQ-22,5. Data Protection and Encryption,Is customer data encrypted in transit? State the minimum TLS version enforced.,Yes/No + free text,TLS configuration evidence,5,A.8.24,PR.DS,Y,Y,,,,,,
VQ-23,5. Data Protection and Encryption,"How are encryption keys generated, stored and rotated? Is a customer-managed key option available?",Free text,Key management procedure,3,A.8.24,PR.DS,Y,,,,,,,
VQ-24,5. Data Protection and Encryption,Is customer data logically or physically segregated between tenants? Describe the mechanism.,Yes/No + free text,Architecture or multi-tenancy description,5,"A.8.22, A.8.31",PR.DS,Y,Y,,,,,,
VQ-25,5. Data Protection and Encryption,Do you operate documented data retention and secure deletion schedules?,Yes/No + document,Retention schedule,4,A.8.10,PR.DS,Y,,,,,,,
VQ-26,5. Data Protection and Encryption,Do you deploy data loss prevention or egress monitoring on systems holding customer data?,Yes/No,DLP configuration summary,3,A.8.12,PR.DS,Y,,,,,,,
VQ-27,6. Data Privacy and GDPR,"Will you execute our Data Processing Agreement, or provide one satisfying GDPR Article 28(3)?",Yes/No,Executed DPA,5,"A.5.34, A.5.20",GV.OC,Y,Y,Y,,,,,
VQ-28,6. Data Privacy and GDPR,"In which countries will our data be stored, processed and accessed from, including support access?",Free text,Data residency statement,5,A.5.34,GV.OC,Y,Y,Y,,,,,
VQ-29,6. Data Privacy and GDPR,"Where data leaves the EEA, which GDPR Article 46 transfer mechanism applies?",Multiple choice + free text,"Standard Contractual Clauses or adequacy reference, plus transfer impact assessment",5,A.5.34,GV.OC,Y,Y,,,,,,
VQ-30,6. Data Privacy and GDPR,Have you appointed a Data Protection Officer or equivalent? Give the contact route.,Yes/No + free text,Appointment record,2,A.5.34,GV.RR,Y,,,,,,,
VQ-31,6. Data Privacy and GDPR,"Can you support data subject access, rectification and erasure requests, and within what period?",Yes/No + numeric (days),Data subject request procedure,4,A.5.34,GV.OC,Y,,,,,,,
VQ-32,6. Data Privacy and GDPR,Do you maintain records of processing activities under GDPR Article 30?,Yes/No,Records of processing extract,3,A.5.34,GV.OC,Y,,,,,,,
VQ-33,7. Sub-processors and Fourth Parties,"Provide your complete current sub-processor list, with the service each performs and its location.",Free text + upload,Published or contractual sub-processor register,5,"A.5.19, A.5.21",GV.SC,Y,Y,,,,,,
VQ-34,7. Sub-processors and Fourth Parties,"How much prior notice is given of a new or changed sub-processor, and do we have a right to object?",Numeric (days) + Yes/No,Contract clause,5,A.5.22,GV.SC,Y,Y,,,,,,
VQ-35,7. Sub-processors and Fourth Parties,Do you security-assess your own sub-processors before engagement? To what standard?,Yes/No + free text,Supplier assessment procedure,4,"A.5.19, A.5.21",GV.SC,Y,,,,,,,
VQ-36,7. Sub-processors and Fourth Parties,Do you flow down equivalent security and privacy obligations to your sub-processors?,Yes/No,Template sub-processor agreement,4,A.5.20,GV.SC,Y,,,,,,,
VQ-37,8. Secure Development and Change Management,Do you follow a documented secure development lifecycle?,Yes/No + document,SDLC procedure,4,A.8.25,PR.PS,Y,,,,,,,
VQ-38,8. Secure Development and Change Management,Is peer code review mandatory before any merge to a production branch?,Yes/No,Branch protection configuration evidence,4,"A.8.28, A.8.32",PR.PS,Y,,,,,,,
VQ-39,8. Secure Development and Change Management,"Are development, test and production environments separated? Is production data ever used in lower environments?",Yes/No + free text,Environment separation policy,4,A.8.31,PR.PS,Y,,,,,,,
VQ-40,8. Secure Development and Change Management,Do you perform static and dynamic application security testing within the pipeline?,Yes/No + free text,Scan configuration and redacted sample output,4,A.8.29,PR.PS,Y,,,,,,,
VQ-41,8. Secure Development and Change Management,Do you maintain a software bill of materials and monitor third-party components for known vulnerabilities?,Yes/No,SBOM sample or software composition analysis report,3,A.8.8,PR.PS,Y,,,,,,,
VQ-42,9. Vulnerability and Patch Management,"Do you perform authenticated vulnerability scanning, and at what frequency?",Yes/No + multiple choice,Scan schedule and redacted sample report,4,A.8.8,ID.RA,Y,,,,,,,
VQ-43,9. Vulnerability and Patch Management,"State your remediation service levels by severity for Critical, High, Medium and Low findings.",Free text,Vulnerability management policy,4,A.8.8,PR.PS,Y,,,,,,,
VQ-44,9. Vulnerability and Patch Management,Is an independent penetration test performed at least annually? Will you share the executive summary?,Yes/No + date,Executive summary of the most recent test,4,A.8.29,ID.RA,Y,,,,,,,
VQ-45,9. Vulnerability and Patch Management,Do you operate a coordinated vulnerability disclosure or bug bounty programme?,Yes/No + free text,Published disclosure policy,2,A.5.7,ID.RA,Y,,,,,,,
VQ-46,"10. Logging, Monitoring and Detection",Are security-relevant events logged centrally? For how many months are logs retained?,Yes/No + numeric (months),Logging standard,4,A.8.15,DE.CM,Y,,,,,,,
VQ-47,"10. Logging, Monitoring and Detection",Is there 24x7 monitoring and alerting on security events? In-house or outsourced?,Yes/No + free text,Monitoring or SOC description,3,A.8.16,DE.CM,Y,,,,,,,
VQ-48,"10. Logging, Monitoring and Detection",Can you provide customer-accessible audit logs of administrative activity within our tenant?,Yes/No,Product documentation,4,A.8.15,DE.CM,Y,,,,,,,
VQ-49,"10. Logging, Monitoring and Detection","Do you alert on anomalous access to customer data, such as bulk export or mass download?",Yes/No + free text,Alerting rule description,3,"A.8.16, A.8.12",DE.CM,Y,,,,,,,
